Name: 广东经济科教, URL: http://61.140.190.62:4022/rtp/239.77.0.167:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 459 ms, Speed: 0.96 M/s, Resolution: 1920x1080
Name: 广东经济科教, URL: http://113.64.197.227:6633/udp/239.77.0.85:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 456 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: 广东经济科教, URL: http://183.33.58.168:8686/rtp/239.77.0.167:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 474 ms, Speed: 0.83 M/s, Resolution: 1920x1080
Name: 广东经济科教, URL: http://113.90.247.190:4000/udp/239.77.0.85:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 739 ms, Speed: 0.63 M/s, Resolution: 1920x1080
Name: 广东体育, URL: http://113.90.247.190:4000/udp/239.77.0.168:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 827 ms, Speed: 1.38 M/s, Resolution: 1920x1080
Name: 广东体育, URL: http://61.140.190.62:4022/udp/239.77.0.112:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 1114 ms, Speed: 0.86 M/s, Resolution: 1920x1080
Name: 广东体育, URL: http://183.33.58.168:8686/udp/239.77.0.112:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 469 ms, Speed: 0.80 M/s, Resolution: 1920x1080
Name: 广东影视, URL: http://113.90.247.190:4000/udp/239.77.0.217:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 742 ms, Speed: 0.98 M/s, Resolution: 1920x1080
Name: 广东影视, URL: http://113.64.197.227:6633/udp/239.77.0.217:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 457 ms, Speed: 0.95 M/s, Resolution: 1920x1080
Name: 广东影视, URL: http://61.140.190.62:4022/udp/239.77.0.217:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 460 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 广东影视, URL: http://183.33.58.168:8686/udp/239.77.0.217:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 482 ms, Speed: 0.80 M/s, Resolution: 1920x1080
Name: 广东影视, URL: http://home.l-ht.cn:4000/rtp/239.77.0.217:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 1696 ms, Speed: 0.63 M/s, Resolution: 1920x1080
Name: 广东综艺4K, URL: http://113.90.247.190:4000/udp/239.77.1.237:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 604 ms, Speed: 2.18 M/s, Resolution: 3840x2160
Name: 广东综艺4K, URL: http://61.140.190.62:4022/rtp/239.77.0.245:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 452 ms, Speed: 1.17 M/s, Resolution: 3840x2160
Name: 广东综艺4K, URL: http://183.30.201.234:10002/udp/239.77.1.237:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 460 ms, Speed: 1.04 M/s, Resolution: 3840x2160
Name: 广东综艺4K, URL: http://113.67.180.72:10000/rtp/239.77.0.245:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 446 ms, Speed: 1.04 M/s, Resolution: 3840x2160
Name: 广东综艺4K, URL: http://183.33.58.168:8686/rtp/239.77.0.245:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 475 ms, Speed: 0.79 M/s, Resolution: 3840x2160
Name: 广东综艺4K, URL: http://113.95.132.14:4200/rtp/239.77.0.245:5146, IPv_Type: ipv4, Location: 中国-广东-肇庆, ISP: 电信, Date: None, Delay: 505 ms, Speed: 0.27 M/s, Resolution: 3840x2160
Name: 广东少儿, URL: http://113.64.197.227:6633/udp/239.77.0.250:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 454 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: 广东少儿, URL: http://61.140.190.62:4022/udp/239.77.0.250:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 462 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 广东少儿, URL: http://113.90.247.190:4000/udp/239.77.0.250:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1205 ms, Speed: 0.84 M/s, Resolution: 1920x1080
Name: 广东少儿, URL: http://183.33.58.168:8686/udp/239.77.0.250:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 483 ms, Speed: 0.79 M/s, Resolution: 1920x1080
Name: 广东少儿, URL: http://home.l-ht.cn:4000/rtp/239.77.0.250:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 462 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 嘉佳卡通, URL: http://113.90.247.190:4000/udp/239.77.0.179:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 757 ms, Speed: 0.98 M/s, Resolution: 1920x1080
Name: 嘉佳卡通, URL: http://61.140.190.62:4022/rtp/239.77.0.179:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 461 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 嘉佳卡通, URL: http://183.30.201.234:10002/rtp/239.77.0.179:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 455 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: 嘉佳卡通, URL: http://183.30.201.234:10002/udp/239.77.0.179:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 466 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: 嘉佳卡通, URL: http://183.33.58.168:8686/rtp/239.77.0.179:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 1488 ms, Speed: 0.72 M/s, Resolution: 0x0
Name: 岭南戏曲, URL: http://183.30.201.234:10002/udp/239.77.0.122:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 456 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: 岭南戏曲, URL: http://113.90.247.190:4000/udp/239.77.0.122:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1559 ms, Speed: 0.90 M/s, Resolution: 1920x1080
Name: 岭南戏曲, URL: http://home.l-ht.cn:4000/rtp/239.77.0.122:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 1173 ms, Speed: 0.73 M/s, Resolution: 1920x1080
Name: 岭南戏曲, URL: http://61.140.190.62:4022/udp/239.77.0.122:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 465 ms, Speed: 0.65 M/s, Resolution: 1920x1080
Name: 岭南戏曲, URL: http://183.33.58.168:8686/udp/239.77.0.122:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 473 ms, Speed: 0.25 M/s, Resolution: 0x0
Name: 现代教育, URL: http://home.l-ht.cn:4000/rtp/239.77.0.213:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 462 ms, Speed: 0.17 M/s, Resolution: 1920x1080
Name: 广州综合, URL: http://113.90.247.190:4000/udp/239.253.43.71:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 633 ms, Speed: 0.76 M/s, Resolution: 1920x1080
Name: 广州综合, URL: http://61.140.190.62:4022/udp/239.253.43.71:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 460 ms, Speed: 0.28 M/s, Resolution: 1920x1080
Name: 广州综合, URL: http://183.33.58.168:8686/udp/239.253.43.71:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 463 ms, Speed: 0.24 M/s, Resolution: 0x0
Name: 广州综合, URL: http://home.l-ht.cn:4000/rtp/239.253.43.71:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 471 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 广州新闻, URL: http://183.30.201.234:10002/udp/239.253.43.72:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 474 ms, Speed: 0.53 M/s, Resolution: 1920x1080
Name: 广州新闻, URL: http://113.90.247.190:4000/udp/239.253.43.72:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1172 ms, Speed: 0.37 M/s, Resolution: 1920x1080
Name: 广州新闻, URL: http://61.140.190.62:4022/udp/239.253.43.72:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 478 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 广州新闻, URL: http://183.33.58.168:8686/udp/239.253.43.72:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 474 ms, Speed: 0.25 M/s, Resolution: 0x0
Name: 广州影视, URL: http://183.30.201.234:10002/udp/239.253.43.73:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 451 ms, Speed: 0.49 M/s, Resolution: 1920x1080
Name: 广州影视, URL: http://home.l-ht.cn:4000/rtp/239.253.43.73:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 476 ms, Speed: 0.44 M/s, Resolution: 1920x1080
Name: 广州影视, URL: http://113.64.197.227:6633/udp/239.253.43.73:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 462 ms, Speed: 0.26 M/s, Resolution: 1920x1080
Name: 广州影视, URL: http://183.33.58.168:8686/udp/239.253.43.73:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 1203 ms, Speed: 0.22 M/s, Resolution: 0x0
Name: 广州影视, URL: http://61.140.190.62:4022/udp/239.253.43.73:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 452 ms, Speed: 0.11 M/s, Resolution: 1920x1080
Name: 广州法治, URL: http://113.90.247.190:4000/udp/239.253.43.74:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 947 ms, Speed: 0.46 M/s, Resolution: 1920x1080
Name: 广州法治, URL: http://61.140.190.62:4022/rtp/239.253.43.74:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 459 ms, Speed: 0.38 M/s, Resolution: 1920x1080
Name: 广州法治, URL: http://home.l-ht.cn:4000/rtp/239.253.43.74:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 465 ms, Speed: 0.17 M/s, Resolution: 1920x1080
Name: 广州法治, URL: http://183.33.58.168:8686/rtp/239.253.43.74:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 459 ms, Speed: 0.00 M/s, Resolution: 0x0
Name: 南国都市, URL: http://113.64.197.227:6633/udp/239.253.43.99:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 458 ms, Speed: 0.27 M/s, Resolution: None
Name: 南国都市, URL: http://home.l-ht.cn:4000/rtp/239.253.43.99:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 485 ms, Speed: 0.25 M/s, Resolution: None
Name: 南国都市, URL: http://113.90.247.190:4000/udp/239.253.43.99:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 644 ms, Speed: 0.19 M/s, Resolution: None
Name: 佛山公共, URL: http://113.90.247.190:4000/udp/239.253.43.53:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1163 ms, Speed: 0.42 M/s, Resolution: 1920x1080
Name: 佛山公共, URL: http://183.30.201.234:10002/udp/239.253.43.53:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 453 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: 佛山南海, URL: http://113.64.197.227:6633/udp/239.253.43.54:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 459 ms, Speed: 0.21 M/s, Resolution: 1920x1080
Name: 佛山顺德, URL: http://113.90.247.190:4000/udp/239.253.43.55:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 822 ms, Speed: 0.52 M/s, Resolution: 1920x1080
Name: 佛山顺德, URL: http://home.l-ht.cn:4000/rtp/239.253.43.55:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 461 ms, Speed: 0.16 M/s, Resolution: 1920x1080
Name: 佛山影视, URL: http://113.90.247.190:4000/udp/239.253.43.56:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1132 ms, Speed: 0.44 M/s, Resolution: 1920x1080
Name: 佛山影视, URL: http://183.30.201.234:10002/udp/239.253.43.56:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 452 ms, Speed: 0.29 M/s, Resolution: 1920x1080
Name: 佛山综合, URL: http://113.90.247.190:4000/udp/239.253.43.57:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 691 ms, Speed: 0.30 M/s, Resolution: 1920x1080
Name: 佛山综合, URL: http://113.64.197.227:6633/udp/239.253.43.57:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 1134 ms, Speed: 0.19 M/s, Resolution: 1920x1080
Name: 佛山综合, URL: http://home.l-ht.cn:4000/rtp/239.253.43.57:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 463 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 清远新闻综合, URL: http://home.l-ht.cn:4000/rtp/239.253.43.33:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 474 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 清远新闻综合, URL: http://113.90.247.190:4000/udp/239.253.43.33:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1157 ms, Speed: 0.12 M/s, Resolution: 1920x1080
Name: 清远新闻综合, URL: http://183.30.201.234:10002/udp/239.253.43.33:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 1861 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 清远文旅生活, URL: http://113.90.247.190:4000/udp/239.253.43.34:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 805 ms, Speed: 0.55 M/s, Resolution: 1920x1080
Name: 清远文旅生活, URL: http://113.64.197.227:6633/udp/239.253.43.34:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 1477 ms, Speed: 0.12 M/s, Resolution: 1920x1080
Name: 清远文旅生活, URL: http://home.l-ht.cn:4000/rtp/239.253.43.34:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 470 ms, Speed: 0.07 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://183.33.58.168:8686/rtp/239.77.0.130:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 494 ms, Speed: 0.31 M/s, Resolution: None
Name: 深圳卫视, URL: http://183.30.201.234:10002/udp/239.77.1.148:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 450 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://61.140.190.62:4022/rtp/239.77.0.130:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 449 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://113.90.247.190:4000/udp/239.77.1.148:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 752 ms, Speed: 0.27 M/s, Resolution: None
Name: 深圳卫视, URL: http://home.l-ht.cn:4000/rtp/239.77.1.3:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 1142 ms, Speed: 0.18 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://113.90.247.190:4000/udp/239.77.0.130:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 613 ms, Speed: 0.16 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://113.90.247.190:4000/udp/239.77.0.92:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 913 ms, Speed: 0.13 M/s, Resolution: None
Name: 深圳卫视, URL: http://home.l-ht.cn:4000/rtp/239.77.0.92:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 463 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: 深圳卫视, URL: http://113.64.197.227:6633/udp/239.77.0.130:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 463 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 深圳都市频道, URL: http://61.140.190.62:4022/rtp/239.77.1.176:5146, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 462 ms, Speed: 0.54 M/s, Resolution: 1920x1080
Name: 深圳都市频道, URL: http://113.90.247.190:4000/udp/239.77.1.124:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 747 ms, Speed: 0.39 M/s, Resolution: 1920x1080
Name: 深圳都市频道, URL: http://183.30.201.234:10002/udp/239.77.1.124:5146, IPv_Type: ipv4, Location: 中国-广东-惠州, ISP: 电信, Date: None, Delay: 463 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 深圳都市频道, URL: http://183.33.58.168:8686/rtp/239.77.1.176:5146, IPv_Type: ipv4, Location: 中国-广东-中山, ISP: 电信, Date: None, Delay: 459 ms, Speed: 0.25 M/s, Resolution: None
Name: 深圳都市频道, URL: http://113.64.197.227:6633/udp/239.77.1.124:5146, IPv_Type: ipv4, Location: 中国-广东-茂名, ISP: 电信, Date: None, Delay: 454 ms, Speed: 0.16 M/s, Resolution: 1920x1080
Name: 深圳都市频道, URL: http://home.l-ht.cn:4000/rtp/239.77.1.124:5146, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 电信, Date: None, Delay: 694 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: 深圳电视剧频道, URL: http://113.90.247.190:4000/udp/239.77.1.125:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 555 ms, Speed: 0.34 M/s, Resolution: 1920x1080
Name: 深圳电视剧频道, URL: http://113.90.247.190:4000/udp/239.77.1.177:5146, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 1117 ms, Speed: 0.08 M/s, Resolution: 1920x1080
