🕘️更新时间,#genre#
佛山综合,http://113.64.197.227:6633/udp/239.253.43.57:5146
佛山综合,http://home.l-ht.cn:4000/rtp/239.253.43.57:5146
佛山综合,http://113.90.247.190:4000/udp/239.253.43.57:5146
清远新闻综合,http://183.30.201.234:10002/udp/239.253.43.33:5146
清远新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.33:5146
清远新闻综合,http://113.90.247.190:4000/udp/239.253.43.33:5146
清远文旅生活,http://113.64.197.227:6633/udp/239.253.43.34:5146
清远文旅生活,http://home.l-ht.cn:4000/rtp/239.253.43.34:5146
清远文旅生活,http://113.90.247.190:4000/udp/239.253.43.34:5146
清远文旅生活,http://183.30.201.234:10002/udp/239.253.43.34:5146
深圳卫视,http://113.64.197.227:6633/udp/239.77.0.130:5146
深圳卫视,http://home.l-ht.cn:4000/rtp/239.77.1.3:5146
深圳卫视,http://183.30.201.234:10002/udp/239.77.1.148:5146
深圳卫视,http://home.l-ht.cn:4000/rtp/239.77.0.92:5146
深圳卫视,http://113.90.247.190:4000/udp/239.77.0.92:5146
深圳卫视,http://113.90.247.190:4000/udp/239.77.0.130:5146
深圳卫视,http://61.140.190.62:4022/rtp/239.77.0.130:5146
深圳卫视,http://183.31.11.150:8000/rtp/239.77.0.130:5146
深圳都市频道,http://113.64.197.227:6633/udp/239.77.1.124:5146
深圳都市频道,http://183.30.201.234:10002/udp/239.77.1.124:5146
深圳都市频道,http://61.140.190.62:4022/rtp/239.77.1.176:5146
深圳都市频道,http://113.90.247.190:4000/udp/239.77.1.124:5146
深圳都市频道,http://home.l-ht.cn:4000/rtp/239.77.1.124:5146
深圳都市频道,http://183.31.11.150:8000/rtp/239.77.1.176:5146
深圳电视剧频道,http://113.90.247.190:4000/udp/239.77.1.125:5146
深圳电视剧频道,http://113.90.247.190:4000/udp/239.77.1.177:5146
深圳财经生活,http://113.90.247.190:4000/udp/239.77.1.242:5146
深圳娱乐频道,http://183.30.201.234:10002/udp/239.77.1.243:5146
深圳娱乐频道,http://113.64.197.227:6633/udp/239.77.1.243:5146
深圳体育健康,http://113.90.247.190:4000/udp/239.77.1.128:5146
深圳体育健康,http://113.90.247.190:4000/udp/239.77.1.140:5146
深圳体育健康,http://home.l-ht.cn:4000/rtp/239.77.1.140:5146
深圳少儿频道,http://home.l-ht.cn:4000/rtp/239.77.1.244:5146
深圳少儿频道,http://113.90.247.190:4000/udp/239.77.1.244:5146
深圳公共频道,http://183.30.201.234:10002/udp/239.77.1.178:5146
深圳公共频道,http://183.30.201.234:10002/udp/239.77.1.126:5146
深圳公共频道,http://113.64.197.227:6633/udp/239.77.1.178:5146
